          2.6718            2.3766  
          3.4382            3.4535  
          3.5392            3.3067  
          3.9271            3.9425  
          4.2223            4.2752  
          3.5339            3.4012  
          4.2044            4.2258  
          5.2053            5.2236  
          3.3938            3.3544  
          5.1849            5.5254  
          2.6062            2.3689  
          2.6426            2.8165  
          4.5749            4.4087  
          3.2536            3.5664  
          3.2228            3.0273  
          3.9903            4.0479  
          4.5828            4.4458  
          3.7422            3.3448  
          2.5005            2.4558  
          5.1375            5.3552  
          5.0060            4.9295  
          4.3107            4.6910  
          3.0665            3.1201  
          5.4884            5.5433  
          3.0126            3.1720  
          5.0186            4.8499  
          5.4535            5.1627  
          4.2822            4.4179  
          3.0197            3.1469  
          3.1066            2.9391  
          5.5603            2.0627  
          5.6955            1.4294  
          5.7820            2.4895  
          6.7273            1.6844  
          5.9788            1.2786  
          5.9789            1.9300  
          5.7898            1.8468  
          5.8946            2.0943  
          6.4758            1.9938  
          5.3583            1.8353  
          5.7554            1.8382  
          5.6953            1.3402  
          5.3140            2.0486  
          6.3820            2.2419  
          5.5635            2.9660  
          6.8680            2.3592  
          6.0370            1.8152  
          5.9075            1.6242  
          6.1069            1.8219  
          6.0191            1.8578  
