46 2 
136650 12.62
150340 13.28
188240 13.42
210350 12.91
239390 13.21
255950 13.99
249430 13.41
259650 13.52
268300 13.23
242970 13.46
213260 13.52
227870 13.59
211000 13.95
181600 12.52
156780 13.18
157780 12.73
159430 13.31
174690 13.68
188650 13.07
189440 12.7
154600 13.39
129290 13.49
120930 13.12
113150 12.53
105380 12.89
98576 12.59
93093 12.47
77977 13.35
70771 12.99
67379 12.82
64748 12.75
69805 12.32
80186 12.81
78796 12.96
75325 12.81
61501 12.77
56104 12.29
47022 12.98
39408 12.38
41458 12.69
36851 12.23
32716 11.83
31164 12.04
27362 12.01
33775 11.66
39558 11.83
