20

           1e+00     -1.2314e+01
           2e+00      5.2458e+01
           3e+00     -1.3488e+01
           4e+00      8.2744e+01
           5e+00      1.6816e+00
           6e+00      2.1821e+01
           7e+00      7.7088e+01
           8e+00      1.4791e+02
           9e+00       6.967e+01
           1e+01      1.3186e+02
         1.1e+01      1.8676e+01
         1.2e+01      8.3878e+01
         1.3e+01      2.1138e+01
         1.4e+01      3.7101e+01
         1.5e+01     -5.4462e+00
         1.6e+01      1.3322e+02
         1.7e+01      1.0248e+02
         1.8e+01      1.2438e+02
         1.9e+01      5.3603e+01
           2e+01      1.6441e+02
