          0.7291            0.4339  
          1.7510            1.7663  
          1.8855            1.6531  
          2.4028            2.4182  
          2.7965            2.8493  
          1.8786            1.7458  
          2.7725            2.7939  
          4.1070            4.1254  
          1.6917            1.6523  
          4.0798            4.4204  
          0.6416            0.4043  
          0.6902            0.8641  
          3.2665            3.1003  
          1.5049            1.8176  
          1.4637            1.2682  
          2.4870            2.5447  
          3.2771            3.1400  
          2.1562            1.7588  
          0.5006            0.4560  
          4.0167            4.2344  
          3.8414            3.7648  
          2.9143            3.2946  
          1.2553            1.3090  
          4.4845            4.5394  
          1.1834            1.3429  
          3.8581            3.6894  
          4.4380            4.1473  
          2.8762            3.0120  
          1.1930            1.3201  
          1.3088            1.1413  
          4.4742            4.4080  
          1.9703            2.3144  
          2.9381            2.9176  
          2.2057            2.1051  
          3.7911            3.8306  
          1.1404            1.3664  
          3.5386            3.7167  
          2.2100            2.1482  
          3.6823            3.8272  
          0.5054            0.4303  
          5.5603            2.0627  
          5.6955            1.4294  
          5.7820            2.4895  
          6.7273            1.6844  
          5.9788            1.2786  
          5.9789            1.9300  
          5.7898            1.8468  
          5.8946            2.0943  
          6.4758            1.9938  
          5.3583            1.8353  
